k,silhouette,davies_bouldin,inertia
3,0.7037195755770742,0.5830285806154475,99.96200040725637
4,0.5806303835958916,0.6113845732894693,77.73276906356195
5,0.5910834921314511,0.6301280204679477,51.635048847110426
6,0.5695843646925584,0.5962821226076792,47.46167858034452
7,0.5694477229352252,0.6560091858957355,37.88165334803245
8,0.5810426738071945,0.7589735872079811,30.630325055804565
