device_id,screen_on_timestamp_unix,screen_on_timestamp_dt,screen_off_timestamp_unix,screen_off_timestamp_dt,screen_duration,unique_foreground_app_count,foreground_app_count,foreground_app_switch_count,foreground_app_switch_per_hour,foreground_app_duration_sum,foreground_app_duration_mean,unique_foreground_app_duration_max,concentration_ratio,foreground_apps_and_durations,unique_foreground_apps_and_durations
10270b8780270b80,1669075612,2022-11-22 0:06,1669075616,2022-11-22 0:06,4,1,1,0,0,4,4,4,1,154:04:00,154:04:00
10270b8780270b80,1669075617,2022-11-22 0:06,1669081515,2022-11-22 1:45,5898,10,28,27,16.48016277,5893,210.4642857,5285,0.896826744,154:7|145:67|147:11|145:9|46:3|199:2|145:7|46:2|199:3|145:3|199:2|145:6|144:76|148:87|147:3|154:2|145:3|160:21|145:112|154:600|159:25|154:3189|144:3|169:136|154:1465|148:20|144:7|154:22,154:5285|145:207|169:136|148:107|144:86|159:25|160:21|147:14|199:7|46:5
10270b8780270b80,1669081614,2022-11-22 1:46,1669081616,2022-11-22 1:46,2,1,1,0,0,2,2,2,1,154:02:00,154:02:00
10270b8780270b80,1669081703,2022-11-22 1:48,1669081706,2022-11-22 1:48,3,1,1,0,0,3,3,3,1,154:03:00,154:03:00
10270b8780270b80,1669081832,2022-11-22 1:50,1669083145,2022-11-22 2:12,1313,5,9,8,21.93450114,1313,145.8888889,767,0.584158416,154:3|148:58|154:360|148:162|147:9|144:91|148:21|160:83|148:526,148:767|154:363|144:91|160:83|147:9
10270b8780270b80,1669083337,2022-11-22 2:15,1669083404,2022-11-22 2:16,67,4,5,4,214.9253731,67,13.4,33,0.492537313,148:21|144:6|169:32|166:7|169:1,169:33|148:21|166:7|144:6
10270b8780270b80,1669084037,2022-11-22 2:27,1669084050,2022-11-22 2:27,13,1,1,0,0,13,13,13,1,169:13:00,169:13:00
10270b8780270b80,1669084659,2022-11-22 2:37,1669084670,2022-11-22 2:37,11,1,1,0,0,11,11,11,1,169:11:00,169:11:00
10270b8780270b80,1669084940,2022-11-22 2:42,1669084950,2022-11-22 2:42,10,1,1,0,0,10,10,10,1,169:10:00,169:10:00
10270b8780270b80,1669085011,2022-11-22 2:43,1669085029,2022-11-22 2:43,18,1,1,0,0,18,18,18,1,169:18:00,169:18:00
10270b8780270b80,1669085030,2022-11-22 2:43,1669085039,2022-11-22 2:43,9,1,1,0,0,9,9,9,1,169:09:00,169:09:00
10270b8780270b80,1669100400,2022-11-22 7:00,1669100425,2022-11-22 7:00,25,1,1,0,0,25,25,25,1,169:25:00,169:25:00
10270b8780270b80,1669100484,2022-11-22 7:01,1669100577,2022-11-22 7:02,93,5,6,5,193.5483871,92,15.33333333,51,0.554347826,169:3|148:20|144:3|193:51|173:2|144:13,193:51|148:20|144:16|169:3|173:2
10270b8780270b80,1669102441,2022-11-22 7:34,1669102452,2022-11-22 7:34,11,1,1,0,0,11,11,11,1,169:11:00,169:11:00
10270b8780270b80,1669103400,2022-11-22 7:50,1669103410,2022-11-22 7:50,10,1,1,0,0,10,10,10,1,169:10:00,169:10:00
10270b8780270b80,1669105346,2022-11-22 8:22,1669105369,2022-11-22 8:22,23,3,3,2,313.0434783,23,7.666666667,10,0.434782609,175:5|169:10|157:8,169:10|157:8|175:5
10270b8780270b80,1669105376,2022-11-22 8:22,1669105843,2022-11-22 8:30,467,8,13,12,92.50535332,465,35.76923077,190,0.408602151,157:7|153:4|189:6|148:106|169:4|147:47|148:32|144:3|159:1|144:115|148:52|147:87|144:1,148:190|147:134|144:119|157:7|189:6|153:4|169:4|159:1
10270b8780270b80,1669105905,2022-11-22 8:31,1669106312,2022-11-22 8:38,407,6,12,11,97.2972973,407,33.91666667,259,0.636363636,144:7|148:135|144:3|151:30|160:3|164:3|151:10|147:55|144:12|148:79|144:25|148:45,148:259|147:55|144:47|151:40|160:3|164:3
10270b8780270b80,1669106383,2022-11-22 8:39,1669108737,2022-11-22 9:18,2354,9,36,35,53.52591334,2350,65.27777778,645,0.274468085,147:13|144:53|147:70|144:2|197:536|148:23|144:6|188:44|151:106|144:4|147:74|148:31|147:76|158:7|147:55|144:3|148:49|144:2|148:53|144:103|154:34|148:110|147:112|144:1|147:2|46:157|148:10|46:165|144:2|158:7|147:8|46:323|144:2|148:10|144:2|147:95,46:645|197:536|147:505|148:286|144:180|151:106|188:44|154:34|158:14
10270b8780270b80,1669108754,2022-11-22 9:19,1669109247,2022-11-22 9:27,493,2,2,1,7.302231237,493,246.5,487,0.987829615,147:6|154:487,154:487|147:6
10270b8780270b80,1669109325,2022-11-22 9:28,1669109807,2022-11-22 9:36,482,4,5,4,29.87551867,481,96.2,386,0.802494802,154:16|148:58|144:5|160:386|148:16,160:386|148:74|154:16|144:5
10270b8780270b80,1669109818,2022-11-22 9:36,1669109819,2022-11-22 9:36,1,1,1,0,0,1,1,1,1,160:01:00,160:01:00
10270b8780270b80,1669109869,2022-11-22 9:37,1669110272,2022-11-22 9:44,403,2,2,1,8.933002481,402,201,284,0.706467662,160:284|152:118,160:284|152:118
10270b8780270b80,1669110511,2022-11-22 9:48,1669112698,2022-11-22 10:24,2187,6,21,20,32.9218107,2186,104.0952381,842,0.385178408,152:6|148:22|144:216|152:60|147:2|158:10|144:7|147:46|152:3|147:248|152:204|160:45|148:145|144:20|147:55|148:6|147:191|144:3|152:225|148:669|152:3,148:842|147:542|152:501|144:246|160:45|158:10
10270b8780270b80,1669112748,2022-11-22 10:25,1669112753,2022-11-22 10:25,5,1,1,0,0,5,5,5,1,152:05:00,152:05:00
