,foreground_app_duration_sum,foreground_app_switch_per_hour,AFI
foreground_app_duration_sum,1.0,-0.0018600015633888794,0.30100019924494625
foreground_app_switch_per_hour,-0.0018600015633888794,1.0,0.37982276751022015
AFI,0.30100019924494625,0.37982276751022015,1.0
