dataset,cluster,count,ratio
baseline_train,0,1143,0.116716021648116
baseline_train,1,2976,0.3038905340549372
baseline_train,2,1032,0.10538139487388952
baseline_train,3,4642,0.4740120494230573
collected_eval,0,397,0.30870917573872475
collected_eval,1,275,0.21384136858475894
collected_eval,2,396,0.30793157076205285
collected_eval,3,218,0.16951788491446346
