dataset,source_csv,n_rows,scaler,feature_range,model,n_clusters,silhouette,davies_bouldin,note
baseline_train,mendeley_v5.csv,9793,minmax,"(0.0, 1.0)",KMeans,4,0.5806303835958916,0.6113845732894693,
collected_eval,collected.csv,1286,minmax(frozen_from_baseline),"(0.0, 1.0)",KMeans,4,0.40284676146966575,0.7914534234142041,
